A,B,C,D,E,F,G,H,X,Y
77,459,314,1256,7,67,233301,31407,0,77
57,342,607,2428,73,19,2207157,60773,0,57
75,450,308,1232,50,13,1522539,30850,0,75
61,366,719,2876,12,84,378552,71912,0,61
74,444,921,3684,88,83,2662449,92188,0,74
36,217,592,2368,24,31,730893,59224,0,36
92,555,609,2435,45,65,1377795,60945,0,92
46,279,90,360,45,68,1364004,9045,0,46
26,153,900,3600,90,11,2707833,90090,0,26
59,354,520,2080,12,87,377961,52012,0,59
17,100,605,2420,44,17,1325151,60544,0,17
10,61,326,1304,79,99,2373297,32679,0,10
14,86,204,816,68,34,2044302,20468,0,14
21,124,572,2288,98,60,2946480,57298,0,21
86,515,134,535,30,7,925821,13430,0,86
82,492,944,3776,4,41,144723,94404,0,82
57,339,188,754,99,87,2987361,18899,0,57
31,187,845,3380,14,5,429315,84514,0,31
72,433,581,2324,84,85,2541855,58184,0,72
61,366,914,3654,42,82,1278546,91442,0,61
29,177,780,3120,33,52,998856,78033,0,29
75,450,685,2740,64,76,1942728,68564,0,75
42,251,632,2528,17,76,522828,63217,0,42
52,312,761,3044,41,80,1245840,76141,0,52
10,59,947,3788,24,18,723054,94724,0,10
66,396,528,2112,13,28,409884,52813,0,66
14,87,665,2660,96,30,2884290,66596,0,14
3,16,462,1848,66,52,1981056,46266,0,3
54,327,301,1204,62,90,1876470,30162,0,54
22,134,298,1192,66,84,1986852,29866,0,22
75,448,639,2556,4,84,142752,63904,0,75
69,415,451,1804,11,95,350985,45111,0,69
38,230,740,2960,24,15,731445,74024,0,38
94,564,543,2170,72,42,2188326,54372,0,94
36,218,194,776,2,6,70818,19402,0,36
89,534,647,2588,23,64,716892,64723,0,89
33,198,963,3852,26,29,789987,96326,0,33
90,542,775,3100,78,2,2367006,77578,0,90
78,465,388,1552,98,90,2963670,38898,0,78
41,246,757,3028,47,75,1422525,75747,0,41
42,253,680,2720,31,85,942855,68031,0,42
61,367,235,940,29,33,888399,23529,0,61
72,434,598,2392,11,97,351891,59811,0,72
94,562,922,3688,47,57,1438371,92247,0,94
73,435,913,3652,11,85,352155,91311,0,73
4,24,91,366,30,9,901227,9130,0,4
1,4,424,1696,23,84,690552,42423,0,1
7,39,565,2260,4,98,122394,56504,0,7
10,60,723,2892,63,26,1893078,72363,0,10
69,416,786,3144,67,14,2030742,78667,0,69
69,412,965,3860,87,76,2630928,96587,0,69
24,144,755,3021,35,74,1057422,75535,0,24
48,287,758,3032,99,91,2984673,75899,0,48
74,447,739,2956,38,23,1162269,73938,0,74
18,110,749,2996,49,93,1475679,74949,0,18
94,562,699,2796,37,27,1138281,69937,0,94
58,346,453,1812,3,96,107688,45303,0,58
19,114,445,1780,29,57,875871,44529,0,19
73,437,868,3472,4,96,142188,86804,0,73
22,131,367,1468,82,38,2466714,36782,0,22
35,208,924,3696,77,55,2320665,92477,0,35
72,434,765,3060,22,72,681816,76522,0,72
24,147,251,1004,19,14,577242,25119,0,24
38,228,348,1392,95,1,2861403,34895,0,38
5,32,33,134,0,67,1701,3300,0,5
85,507,259,1034,74,8,2245524,25974,0,85
30,181,678,2712,78,55,2349165,67878,0,30
0,-3,307,1228,82,97,2460291,30782,0,0
14,81,432,1728,74,35,2224305,43274,0,14
74,446,870,3480,27,38,832314,87027,0,74
27,159,45,180,95,40,2858220,4595,0,27
10,58,824,3296,3,29,93087,82403,0,10
34,202,881,3524,85,80,2560440,88185,0,34
36,219,883,3532,77,39,2320917,88377,0,36
99,594,109,436,23,80,719940,10923,0,99
26,158,235,941,38,26,1147878,23538,0,26
65,388,308,1233,54,90,1639770,30854,0,65
36,218,172,688,83,75,2501025,17283,0,36
52,313,233,932,61,61,1845783,23361,0,52
6,33,180,720,30,71,902013,18030,0,6
28,169,112,446,78,99,2348697,11278,0,28
41,248,654,2616,61,3,1842309,65461,0,41
13,77,341,1364,52,6,1563918,34152,0,13
18,111,924,3697,67,27,2015481,92467,0,18
89,534,392,1568,25,18,776754,39225,0,89
96,579,429,1716,28,89,869067,42928,0,96
83,501,692,2768,9,46,295038,69209,0,83
89,533,929,3716,42,89,1286967,92942,0,89
92,552,638,2552,16,91,507873,63816,0,92
41,243,211,844,16,96,492588,21116,0,41
10,62,378,1511,63,29,1893087,37863,0,10
68,405,146,582,91,92,2750676,14691,0,68
66,395,164,656,28,23,859869,16428,0,66
38,226,990,3960,4,11,131433,99004,0,38
23,139,235,938,53,38,1597014,23553,0,23
45,270,11,44,17,20,523560,1117,0,45
87,522,272,1088,9,25,296175,27209,0,87
51,304,225,900,25,9,765327,22525,0,51
90,537,125,500,5,4,177012,12505,0,90
43,256,186,745,85,61,2563083,18685,0,43
67,399,983,3932,62,77,1880331,98362,0,67
40,241,517,2068,79,97,2382291,51779,0,40
2,9,219,875,45,54,1350762,21945,0,2
75,449,547,2188,60,90,1822770,54760,0,75
69,414,86,344,57,89,1730967,8657,0,69
16,96,896,3584,74,83,2225049,89674,0,16
28,165,252,1007,47,92,1418676,25247,0,28
86,515,225,900,2,7,85821,22502,0,86
45,273,644,2576,90,94,2713782,64490,0,45
66,397,359,1436,56,64,1699992,35956,0,66
87,523,434,1736,4,40,146220,43404,0,87
89,534,998,3992,86,34,2606802,99886,0,89
34,206,331,1324,69,81,2080443,33169,0,34
17,103,960,3840,98,18,2945154,96098,0,17
26,153,150,600,26,52,787956,15026,0,26
71,426,580,2320,48,22,1461366,58048,0,71
53,318,424,1696,88,38,2656014,42488,0,53
58,346,627,2508,65,15,1967445,62765,0,58
99,596,668,2672,48,64,1469892,66848,0,99
17,99,500,2000,89,82,2675346,50089,0,17
67,400,832,3328,34,47,1040241,83234,0,67
9,52,609,2437,58,91,1742973,60958,0,9
73,438,227,906,57,3,1731909,22757,0,73
42,252,741,2964,4,66,132798,74104,0,42
81,487,213,852,93,81,2814543,21393,0,81
82,489,133,532,99,67,2994801,13399,0,82
90,542,183,732,73,70,2217210,18373,0,90
16,97,57,228,5,0,154800,5705,0,16
17,100,865,3461,12,31,365193,86512,0,17
33,195,529,2114,60,80,1810140,52960,0,33
79,474,353,1412,14,89,443967,35314,0,79
46,277,45,180,33,65,1003995,4533,0,46
97,583,754,3016,66,56,2009268,75466,0,97
39,235,52,208,93,32,2801796,5293,0,39
99,596,615,2460,44,54,1349862,61544,0,99
8,46,303,1212,84,24,2522472,30384,0,8
5,28,134,538,37,71,1111713,13437,0,5
33,195,250,1000,50,12,1509936,25050,0,33
0,0,512,2048,27,90,810270,51227,0,0
39,231,892,3568,79,27,2381781,89279,0,39
85,509,585,2341,87,96,2635788,58587,0,85
88,526,356,1425,21,70,656610,35621,0,88
36,213,803,3210,98,6,2950818,80398,0,36
28,169,810,3240,71,73,2138619,81071,0,28
10,57,148,594,75,41,2253123,14875,0,10
59,356,297,1188,45,85,1367955,29745,0,59
14,84,48,192,21,77,634431,4821,0,14
67,403,619,2476,21,67,650301,61921,0,67
38,229,543,2173,92,5,2771415,54392,0,38
12,74,900,3598,83,65,2493795,90083,0,12
33,199,878,3512,87,87,2620161,87887,0,33
5,28,882,3528,72,33,2161599,88272,0,5
90,543,922,3688,63,9,1917027,92263,0,90
68,405,41,164,78,64,2360592,4178,0,68
21,127,661,2644,70,23,2106369,66170,0,21
73,435,906,3624,8,3,261909,90608,0,73
83,500,439,1757,2,73,85119,43902,0,83
12,70,745,2980,18,66,543798,74518,0,12
78,469,518,2072,35,64,1073592,51835,0,78
1,3,757,3026,48,68,1440504,75748,0,1
67,400,940,3760,48,60,1460280,94048,0,67
10,61,269,1076,3,99,93297,26903,0,10
94,566,90,360,59,74,1798422,9059,0,94
9,54,146,585,33,87,992961,14633,0,9
55,331,448,1792,37,87,1126761,44837,0,55
26,155,506,2024,25,88,758064,50625,0,26
53,321,1,5,32,66,976098,132,0,53
32,191,587,2348,76,22,2289666,58776,0,32
60,359,659,2636,95,26,2868078,65995,0,60
72,434,697,2788,94,86,2841858,69794,0,72
5,32,131,524,65,58,1951674,13165,0,5
47,284,437,1748,36,87,1094361,43736,0,47
56,337,435,1739,60,12,1816836,43560,0,56
18,108,330,1320,78,15,2345445,33078,0,18
83,501,179,716,35,87,1075161,17935,0,83
89,532,64,256,72,92,2186976,6472,0,89
86,513,355,1421,93,61,2815983,35593,0,86
22,129,802,3208,30,30,906690,80230,0,22
44,264,906,3624,66,79,1993437,90666,0,44
55,331,369,1476,58,37,1756611,36958,0,55
34,205,309,1236,56,1,1690203,30956,0,34
77,460,210,840,89,60,2693280,21089,0,77
11,67,425,1700,33,3,993309,42533,0,11
17,105,365,1460,33,23,995169,36533,0,17
60,361,516,2064,41,92,1248276,51641,0,60
49,294,913,3652,61,73,1844919,91361,0,49
85,507,147,588,14,52,445656,14714,0,85
58,350,361,1444,0,52,17556,36100,0,58
83,501,619,2475,29,91,895173,61929,0,83
19,112,308,1230,95,18,2855754,30895,0,19
67,402,497,1988,10,54,320262,49710,0,67
91,548,968,3872,58,5,1767315,96858,0,91
94,562,953,3812,20,93,628479,95320,0,94
34,203,852,3408,36,49,1090347,85236,0,34
56,338,352,1408,29,18,886854,35229,0,56
93,560,491,1964,45,67,1378101,49145,0,93
56,339,481,1924,69,6,2086818,48169,0,56
78,469,304,1216,81,27,2453481,30481,0,78
48,290,511,2044,9,67,284601,51109,0,48
82,494,15,60,40,54,1224762,1540,0,82
55,330,84,336,88,87,2656761,8488,0,55
99,596,836,3344,84,33,2549799,83684,0,99
2,14,797,3188,58,7,1740621,79758,0,2
51,307,331,1325,97,46,2925438,33197,0,51
85,510,905,3620,66,47,2005641,90566,0,85
52,312,379,1516,21,74,645822,37921,0,52
74,444,3,12,90,58,2722374,390,0,74
10,62,793,3172,97,12,2913036,79397,0,10
43,258,768,3072,53,88,1603164,76853,0,43
49,296,152,608,67,59,2024877,15267,0,49
30,178,580,2322,1,48,39144,58001,0,30
70,420,503,2012,86,40,2601120,50386,0,70
22,129,691,2764,98,54,2946762,69198,0,22
15,93,979,3914,13,78,394734,97913,0,15
40,242,710,2840,81,72,2442216,71081,0,40
82,495,357,1428,6,80,204840,35706,0,82
2,15,549,2196,18,84,540852,54918,0,2
58,350,249,996,78,88,2357664,24978,0,58
5,31,595,2382,78,84,2341752,59578,0,5
80,479,793,3173,83,56,2514168,79383,0,80
38,225,863,3452,17,52,521556,86317,0,38
82,490,532,2128,86,1,2604603,53286,0,82
63,378,208,832,34,86,1039158,20834,0,63
32,194,664,2656,43,2,1299606,66443,0,32
93,559,312,1248,36,44,1108032,31236,0,93
44,263,997,3988,54,86,1633458,99754,0,44
77,460,65,260,6,42,203226,6506,0,77
47,281,816,3264,18,49,554247,81618,0,47
28,168,373,1492,26,6,788418,37326,0,28
61,369,334,1336,19,43,588429,33419,0,61
66,399,116,464,71,9,2149827,11671,0,66
83,495,556,2222,19,5,594915,55619,0,83
2,14,785,3140,31,92,930876,78531,0,2
62,372,581,2326,10,93,318879,58110,0,62
78,465,645,2580,35,79,1073637,64535,0,78
81,485,550,2200,16,2,504306,55016,0,81
9,51,349,1396,10,59,302877,34910,0,9
50,299,757,3030,98,46,2955138,75798,0,50
9,56,242,968,8,1,242703,24208,0,9
31,188,684,2736,96,1,2889303,68496,0,31
84,507,227,909,18,70,565410,22718,0,84
13,77,878,3511,84,14,2523942,87884,0,13
22,132,72,288,60,1,1806603,7260,0,22
57,341,588,2352,41,18,1247154,58841,0,57
11,69,295,1180,57,46,1713438,29557,0,11
54,322,560,2240,85,89,2566467,56085,0,54
96,579,500,1998,44,37,1348911,50044,0,96
38,228,921,3686,20,11,611433,92120,0,38
20,123,679,2715,73,73,2196219,67973,0,20
28,171,83,332,60,15,1808445,8360,0,28
16,97,133,534,79,73,2375019,13379,0,16
81,486,394,1574,9,96,294588,39409,0,81
89,531,533,2132,82,55,2486865,53382,0,89
15,87,754,3018,30,6,904518,75430,0,15
1,6,106,424,31,84,930552,10631,0,1
32,194,943,3770,69,36,2079708,94369,0,32
76,457,754,3014,64,99,1943097,75464,0,76
24,146,737,2948,17,43,517329,73717,0,24
36,214,144,576,84,30,2530890,14484,0,36
10,61,591,2364,21,68,633204,59121,0,10
87,523,820,3280,22,61,686283,82022,0,87
36,213,644,2574,92,82,2771046,64492,0,36
92,555,78,312,71,88,2157864,7871,0,92
77,462,297,1190,48,42,1463226,29748,0,77
46,278,2,8,21,16,643848,221,0,46
32,195,82,328,73,78,2199834,8273,0,32
18,106,28,112,53,76,1595628,2853,0,18
48,288,503,2014,26,12,794436,50326,0,48
32,192,526,2104,45,27,1359681,52645,0,32
17,103,649,2596,29,25,875175,64929,0,17
27,164,536,2144,73,14,2198142,53673,0,27
28,167,241,964,38,74,1148622,24138,0,28
29,174,60,240,61,64,1838892,6061,0,29
96,579,747,2988,42,17,1288851,74742,0,96
39,232,435,1738,10,54,311862,43510,0,39
86,518,232,928,81,8,2455824,23281,0,86
99,591,371,1484,93,83,2819949,37193,0,99
70,420,696,2784,35,51,1071153,69635,0,70
21,129,628,2512,54,51,1626453,62854,0,21
76,453,937,3748,16,76,503028,93716,0,76
36,213,657,2628,70,84,2111052,65770,0,36
73,437,990,3961,25,72,772116,99025,0,73
94,562,107,428,85,36,2578308,10785,0,94
83,499,396,1584,44,11,1344933,39644,0,83
70,423,787,3146,88,20,2661060,78788,0,70
80,483,238,952,4,89,144267,23804,0,80
5,30,175,700,94,82,2821746,17594,0,5
77,462,21,84,81,34,2453202,2181,0,77
52,315,37,148,55,14,1665642,3755,0,52
51,303,416,1664,66,90,1995570,41666,0,51
12,74,179,718,27,26,813678,17927,0,12
27,164,26,104,32,0,968100,2632,0,27
81,487,158,632,88,69,2664507,15888,0,81
7,42,978,3911,4,50,122250,97804,0,7
94,567,798,3192,87,48,2638344,79887,0,94
33,196,982,3928,55,82,1660146,98255,0,33
63,380,927,3708,64,0,1938900,92764,0,63
94,564,644,2576,9,41,298323,64409,0,94
81,486,50,200,44,27,1344381,5044,0,81
32,190,405,1620,66,70,1989810,40566,0,32
8,46,837,3348,19,44,572532,83719,0,8
71,423,935,3740,6,58,201474,93506,0,71
53,318,55,220,5,70,166110,5505,0,53
74,445,856,3424,83,67,2512401,85683,0,74
71,425,924,3697,11,25,351375,92411,0,71
25,147,142,568,18,22,547566,14218,0,25
41,247,872,3488,44,79,1332537,87244,0,41
58,351,779,3116,5,17,167451,77905,0,58
32,193,342,1368,37,53,1119759,34237,0,32
78,468,597,2388,42,50,1283550,59742,0,78
20,121,525,2100,73,46,2196138,52573,0,20
96,576,173,693,8,84,269052,17308,0,96
43,258,419,1676,9,80,283140,41909,0,43
15,87,393,1572,83,82,2494746,39383,0,15
84,503,306,1224,45,17,1375251,30645,0,84
35,212,696,2782,79,78,2380734,69679,0,35
42,255,499,1996,42,56,1272768,49942,0,42
49,293,480,1921,18,26,554778,48018,0,49
73,439,536,2142,51,95,1552185,53651,0,73
11,63,464,1856,34,37,1023411,46434,0,11
42,250,178,714,20,80,612840,17820,0,42
52,312,386,1544,9,40,285720,38609,0,52
38,229,747,2988,2,66,71598,74702,0,38
22,131,601,2404,38,46,1146738,60138,0,22
98,590,595,2379,5,46,179538,59505,0,98
14,84,7,28,9,41,274323,709,0,14
34,201,739,2958,77,8,2320224,73977,0,34
30,179,403,1612,37,24,1119072,40337,0,30
28,167,312,1247,2,26,68478,31202,0,28
25,148,274,1096,92,8,2767524,27492,0,25
80,480,726,2904,93,24,2814072,72693,0,80
40,237,673,2692,84,68,2532204,67384,0,40
17,103,88,352,99,32,2975196,8899,0,17
39,233,422,1688,52,85,1571955,42252,0,39
51,306,565,2259,18,89,555567,56518,0,51
23,136,578,2312,63,94,1897182,57863,0,23
87,522,729,2916,84,14,2546142,72984,0,87
26,158,456,1824,96,31,2887893,45696,0,26
2,13,797,3186,81,11,2430633,79781,0,2
98,590,78,311,10,14,329442,7810,0,98
40,237,503,2014,91,98,2742294,50391,0,40
57,342,629,2516,59,25,1787175,62959,0,57
12,72,920,3682,37,98,1113894,92037,0,12
30,182,54,216,79,91,2379273,5479,0,30
66,396,766,3064,73,26,2209878,76673,0,66
93,557,725,2900,21,40,658020,72521,0,93
40,240,277,1108,31,88,942264,27731,0,40
77,464,229,914,11,73,353319,22911,0,77
52,309,644,2576,72,22,2175666,64472,0,52
67,404,599,2396,74,85,2240355,59974,0,67
4,22,373,1491,73,46,2191338,37373,0,4
33,200,498,1992,3,33,99999,49803,0,33
7,40,450,1800,77,93,2312379,45077,0,7
55,331,614,2456,88,13,2656539,61488,0,55
8,51,639,2556,10,85,302655,63910,0,8
17,104,530,2120,3,46,95238,53003,0,17
64,381,51,204,23,95,709485,5123,0,64
61,365,796,3184,58,9,1758327,79658,0,61
50,300,198,792,45,33,1365099,19845,0,50
11,64,545,2180,85,49,2553447,54585,0,11
94,563,165,660,58,9,1768227,16558,0,94
83,498,598,2393,34,12,1044936,59834,0,83
78,471,288,1152,62,86,1883658,28862,0,78
96,578,225,901,52,29,1588887,22552,0,96
30,181,960,3838,75,90,2259270,96075,0,30
83,498,848,3392,29,34,895002,84829,0,83
62,372,434,1738,66,67,1998801,43466,0,62
82,492,270,1080,99,20,2994660,27099,0,82
29,175,645,2581,1,93,38979,64501,0,29
37,223,161,644,52,19,1571157,16152,0,37
10,60,610,2440,71,84,2133252,61071,0,10
36,218,713,2852,4,2,130806,71304,0,36
22,133,560,2238,28,48,846744,56028,0,22
40,237,393,1572,12,76,372228,39312,0,40
74,442,445,1778,14,27,442281,44514,0,74
31,183,282,1130,26,36,789408,28226,0,31
83,496,680,2719,75,89,2275167,68075,0,83
17,103,34,136,74,20,2225160,3474,0,17
98,585,937,3750,94,48,2849544,93794,0,98
87,523,435,1741,94,35,2846205,43594,0,87
45,269,910,3640,29,98,883794,91029,0,45
64,387,181,722,81,58,2449374,18181,0,64
98,585,933,3732,20,72,629616,93320,0,98
69,414,931,3724,35,61,1070883,93135,0,69
28,171,683,2732,26,49,788547,68326,0,28
18,108,78,312,81,2,2435406,7881,0,18
22,134,864,3456,45,44,1356732,86445,0,22
17,105,999,3996,22,67,665301,99922,0,17
44,266,15,58,36,4,1093212,1536,0,44
36,213,641,2566,54,65,1630995,64154,0,36
92,551,838,3352,31,67,957801,83831,0,92
29,175,439,1756,28,88,848964,43928,0,29
5,32,54,215,66,37,1981611,5466,0,5
76,454,14,56,33,30,1012890,1433,0,76
19,115,185,741,16,63,485889,18516,0,19
42,254,255,1020,28,10,852630,25528,0,42
0,1,77,308,82,78,2460234,7782,0,0
98,591,107,428,60,93,1829679,10760,0,98
65,388,327,1308,14,47,439641,32714,0,65
18,111,453,1814,56,92,1685676,45356,0,18
41,244,862,3448,95,96,2862588,86295,0,41
21,123,41,164,43,30,1296390,4143,0,21
47,284,160,640,84,56,2534268,16084,0,47
80,480,466,1864,69,83,2094249,46669,0,80
23,136,392,1567,41,18,1236954,39241,0,23
30,182,577,2308,78,22,2349066,57778,0,30
42,250,259,1037,92,64,2772792,25992,0,42
